*Vertices   7343
      1 "S. Kambhampati"                         0.0000    0.0000    0.5000
      2 "Christian A. Duncan"                   0.0000    0.0000    0.5000
      3 "V. P. Grishukhin"                       0.0000    0.0000    0.5000
      4 "T. T. Moh"                              0.0000    0.0000    0.5000
      5 "R. P. Brent"                           0.0000    0.0000    0.5000
      6 "Afra Zomorodian"                        0.0000    0.0000    0.5000
      7 "Gianfranco Bilardi"                    0.0000    0.0000    0.5000
      8 "Y. I. Yoon"                             0.0000    0.0000    0.5000
      9 "N. Bourbaki"                            0.0000    0.0000    0.5000
     10 "F. W. Levi"                            0.0000    0.0000    0.5000
     11 "J. P. Kermode"                          0.0000    0.0000    0.5000
     12 "B. B. Kimia"                            0.0000    0.0000    0.5000
     13 "R. Livne"                               0.0000    0.0000    0.5000
     14 "H. N. Gabow"                           0.0000    0.0000    0.5000
     15 "Jonathan C. Hardwick"                  0.0000    0.0000    0.5000
     16 "H. R. Brahana"                          0.0000    0.0000    0.5000
     17 "Ulrich Huckenbeck"                     0.0000    0.0000    0.5000
     18 "J. A. Lo"                               0.0000    0.0000    0.5000
     19 "H. W. Scholten"                         0.0000    0.0000    0.5000
     20 "H.-C. Im Hof"                           0.0000    0.0000    0.5000
     21 "J. Bonet"                               0.0000    0.0000    0.5000
     22 "F. Frances Yao"                        0.0000    0.0000    0.5000
     23 "D. Kapur"                               0.0000    0.0000    0.5000
     24 "Jon Michael Kleinberg"                 0.0000    0.0000    0.5000
     25 "G. Y. Handler"                          0.0000    0.0000    0.5000
     26 "W. Fulton"                              0.0000    0.0000    0.5000
     27 "Derek Thompson"                         0.0000    0.0000    0.5000
     28 "R. S. Roth"                             0.0000    0.0000    0.5000
     29 "J. Moravek"                             0.0000    0.0000    0.5000
     30 "J. K. Hahn"                             0.0000    0.0000    0.5000
     31 "A. Mesa Henriquez"                      0.0000    0.0000    0.5000
     32 "D. J. Rosenkrantz"                      0.0000    0.0000    0.5000
     33 "J. Glimm"                               0.0000    0.0000    0.5000
     34 "B. Smith"                               0.0000    0.0000    0.5000
     35 "Tatsuya Akutsu"                        0.0000    0.0000    0.5000
     36 "Leonidas J. Guibas"                    0.0000    0.0000    0.5000
     37 "J. Rippel"                              0.0000    0.0000    0.5000
     38 "Jochen Seemann"                         0.0000    0.0000    0.5000
     39 "J. C. Xia"                             0.0000    0.0000    0.5000
     40 "Christopher L. Smith"                  0.0000    0.0000    0.5000
     41 "T. Suzuki"                              0.0000    0.0000    0.5000
     42 "L. Shafer"                              0.0000    0.0000    0.5000
     43 "H. Gill"                                0.0000    0.0000    0.5000
     44 "H. A. M. de Brouwer"                    0.0000    0.0000    0.5000
     45 "Maw Shang Chang"                       0.0000    0.0000    0.5000
     46 "J. B. Rosen"                           0.0000    0.0000    0.5000
     47 "J. Wolff von Gudenberg"                 0.0000    0.0000    0.5000
     48 "J. Hopfield"                            0.0000    0.0000    0.5000
     49 "V. G. Polimenis"                        0.0000    0.0000    0.5000
     50 "Elmar Langetepe"                        0.0000    0.0000    0.5000
