1,7,1
1,11,1
1,12,1
2,11,1
2,12,1
2,26,1
3,7,1
3,10,1
3,14,1
4,11,1
4,12,1
4,39,1
5,9,1
5,11,1
5,50,1
6,8,1
6,9,1
6,22,1
7,1,1
7,3,1
7,12,1
7,31,1
7,34,1
8,6,1
8,9,1
8,10,1
8,23,1
8,36,1
9,5,1
9,6,1
9,8,1
9,10,1
9,49,1
10,3,1
10,8,1
10,9,1
10,13,1
10,37,1
11,1,1
11,2,1
11,4,1
11,5,1
11,12,1
11,26,1
11,49,1
12,1,1
12,2,1
12,4,1
12,7,1
12,11,1
12,28,1
12,49,1
13,10,1
13,17,1
13,23,1
14,3,1
14,20,1
14,22,1
15,23,1
15,25,1
15,44,1
16,20,1
16,22,1
16,46,1
17,13,1
17,20,1
17,22,1
17,47,1
18,23,1
18,25,1
18,26,1
18,30,1
19,24,1
19,25,1
19,26,1
19,50,1
20,14,1
20,16,1
20,17,1
20,22,1
20,33,1
21,24,1
21,25,1
21,26,1
21,27,1
21,48,1
22,6,1
22,14,1
22,16,1
22,17,1
22,20,1
22,43,1
23,8,1
23,13,1
23,15,1
23,18,1
23,24,1
23,25,1
23,26,1
23,45,1
24,19,1
24,21,1
24,23,1
24,25,1
24,26,1
24,37,1
24,45,1
24,47,1
25,15,1
25,18,1
25,19,1
25,21,1
25,23,1
25,24,1
25,26,1
25,32,1
25,42,1
25,43,1
26,2,1
26,11,1
26,18,1
26,19,1
26,21,1
26,23,1
26,24,1
26,25,1
26,36,1
27,21,1
27,36,1
27,37,1
28,12,1
28,32,1
28,33,1
29,33,1
29,37,1
29,48,1
30,18,1
30,34,1
30,36,1
31,7,1
31,36,1
31,37,1
32,25,1
32,28,1
32,33,1
32,35,1
32,37,1
33,20,1
33,28,1
33,29,1
33,32,1
33,35,1
33,37,1
34,7,1
34,30,1
34,35,1
34,36,1
34,38,1
35,32,1
35,33,1
35,34,1
35,37,1
35,41,1
35,50,1
36,8,1
36,26,1
36,27,1
36,30,1
36,31,1
36,34,1
37,10,1
37,24,1
37,27,1
37,29,1
37,31,1
37,32,1
37,33,1
37,35,1
37,41,1
38,34,1
38,49,1
38,50,1
39,4,1
39,46,1
39,48,1
40,46,1
40,48,1
40,50,1
41,35,1
41,37,1
41,42,1
41,47,1
42,25,1
42,41,1
42,46,1
42,48,1
43,22,1
43,25,1
43,49,1
43,50,1
44,15,1
44,47,1
44,49,1
44,50,1
45,23,1
45,24,1
45,48,1
45,49,1
45,50,1
46,16,1
46,39,1
46,40,1
46,42,1
46,49,1
47,17,1
47,24,1
47,41,1
47,44,1
47,50,1
48,21,1
48,29,1
48,39,1
48,40,1
48,42,1
48,45,1
49,9,1
49,11,1
49,12,1
49,38,1
49,43,1
49,44,1
49,45,1
49,46,1
49,50,1
50,5,1
50,19,1
50,35,1
50,38,1
50,40,1
50,43,1
50,44,1
50,45,1
50,47,1
50,49,1
