1	10	1.01477
1	12	0.957193
1	32	0.904735
1	38	0.957006
1	47	1.59629
1	59	1.02565
1	60	1.00978
1	62	0.956137
1	63	0.957136
1	69	1.01005
1	84	0.962156
1	90	0.906323
1	101	0.959291
1	104	0.963415
1	111	1.01474
1	119	1.0084
2	11	1.05539
2	14	1.07812
2	17	1.0659
2	28	1.23103
2	37	1.00077
2	43	0.712353
2	64	1.0156
2	75	1.06994
2	88	1.02328
2	91	0.951359
2	94	1.01118
2	108	1.01433
2	113	0.967662
2	120	1.01205
2	125	0.956602
2	128	1.07705
3	22	1.06055
3	27	1.00146
3	32	0.955299
3	43	0.513938
3	50	1.01114
3	62	1.0067
3	63	1.0077
3	68	1.05749
3	81	1.0093
3	82	1.00068
3	84	1.01272
3	101	1.00986
3	106	0.958326
3	108	1.09504
3	111	1.0653
3	121	1.00528
4	16	1.0521
4	18	1.00824
4	19	1.50664
4	33	1.05444
4	47	1.0085
4	52	1.02191
4	53	1.06179
4	57	1.00489
4	67	1.01158
4	73	0.964593
4	78	1.2567
4	86	0.955496
4	89	1.01496
4	95	1.00579
4	116	0.961904
4	123	1.04928
5	9	1.0202
5	16	1.04929
5	18	1.00544
5	31	0.959994
5	50	0.974142
5	52	1.0191
5	58	0.97207
5	67	1.00877
5	70	1.059
5	89	1.01215
5	107	1.06204
5	116	0.959097
5	117	1.05285
5	121	1.13718
5	123	1.04648
5	126	1.06113
6	4	1.06085
6	30	1.05744
6	31	0.957077
6	32	1.52399
6	33	1.04871
6	51	0.999111
6	52	1.01619
6	53	1.05607
6	56	1.06157
6	57	0.999168
6	67	1.00586
6	70	1.05608
6	86	0.949772
6	101	0.985615
6	117	1.04993
6	126	1.05821
7	9	1.27133
7	14	1.07843
7	17	1.0662
7	19	1.0101
7	26	1.06198
7	36	0.956826
7	37	1.00108
7	41	1.00301
7	49	0.955273
7	54	1.06879
7	63	1.22404
7	91	0.951668
7	98	1.00987
7	120	1.01236
7	125	0.956911
7	128	1.07735
8	4	1.04315
8	5	1.03754
8	6	1.0317
8	16	1.02867
8	47	0.985079
8	52	0.998486
8	56	1.04387
8	58	0.951452
8	65	0.980658
8	66	1.65839
8	73	0.941167
8	79	0.997397
8	86	0.93207
8	89	0.99153
8	107	1.04143
8	117	1.03223
9	18	0.977018
9	31	0.931575
9	51	0.973609
9	52	0.990685
9	56	1.03607
9	58	0.943651
9	65	0.972858
9	79	0.989597
9	89	0.98373
9	95	0.974561
9	97	1.03312
9	105	0.316622
9	116	0.930679
9	117	1.02443
9	123	1.01806
9	126	1.03271
10	1	0.965031
10	21	2.019
10	25	1.01053
10	29	1.04666
10	32	0.953514
10	54	0.398449
10	60	1.05856
10	62	1.00492
10	68	1.0557
10	69	1.05883
10	77	1.05934
10	81	1.00751
10	82	0.998898
10	103	1.01861
10	105	1.05859
10	121	1.0035
11	2	1.05979
11	7	1.0604
11	13	0.273241
11	37	0.996375
11	54	1.06409
11	57	1.57228
11	75	1.06555
11	78	0.960421
11	88	1.01889
11	91	0.946967
11	94	1.00679
11	96	0.958612
11	98	1.00517
11	99	1.0522
11	125	0.95221
11	128	1.07265
12	1	0.935147
12	3	1.03627
12	10	1.03367
12	15	8.2537e-05
12	22	1.02888
12	25	0.980647
12	28	1.51636
12	29	1.01678
12	38	0.9759
12	60	1.02868
12	68	1.02582
12	74	1.03099
12	76	1.03326
12	90	0.925218
12	104	0.98231
12	105	1.02871
13	20	1.00904
13	28	1.06585
13	34	1.12191
13	40	1.00519
13	43	1.06529
13	44	1.06082
13	45	1.06554
13	46	1.0238
13	55	1.06791
13	58	1.25895
13	60	1.1846
13	84	0.319203
13	92	1.02351
13	93	1.0226
13	109	0.97246
13	122	1.06289
14	11	1.06237
14	19	1.01676
14	21	0.970373
14	37	1.00774
14	49	0.961936
14	61	1.03046
14	64	1.02258
14	78	0.971785
14	91	0.958332
14	96	0.969976
14	98	1.01653
14	99	1.06356
14	120	1.01902
